1, 1, 1, 1.79769e+308
1, 1, 2, 1.79769e+308
1, 1, 3, 1.79769e+308
1, 1, 4, 1.79769e+308
1, 1, 5, 1.79769e+308
1, 1, 6, 1.79769e+308
1, 1, 7, 1.79769e+308
1, 1, 8, 1.79769e+308
1, 1, 9, 1.79769e+308
1, 2, 1, 1.79769e+308
1, 2, 2, 1.79769e+308
1, 2, 3, 1.79769e+308
1, 2, 4, 1.79769e+308
1, 2, 5, 1.79769e+308
1, 2, 6, 1.79769e+308
1, 2, 7, 1.79769e+308
1, 2, 8, 1.79769e+308
1, 2, 9, 1.79769e+308
1, 3, 1, 1.79769e+308
1, 3, 2, 1.79769e+308
1, 3, 3, 1.79769e+308
1, 3, 4, 1.79769e+308
1, 3, 5, 1.79769e+308
1, 3, 6, 1.79769e+308
1, 3, 7, 1.79769e+308
1, 3, 8, 1.79769e+308
1, 3, 9, 1.79769e+308
1, 4, 1, 1.79769e+308
1, 4, 2, 1.79769e+308
1, 4, 3, 1.79769e+308
1, 4, 4, 1.79769e+308
1, 4, 5, 1.79769e+308
1, 4, 6, 1.79769e+308
1, 4, 7, 1.79769e+308
1, 4, 8, 1.79769e+308
1, 4, 9, 1.79769e+308
1, 5, 1, 1.79769e+308
1, 5, 2, 1.79769e+308
1, 5, 3, 1.79769e+308
1, 5, 4, 1.79769e+308
1, 5, 5, 1.79769e+308
1, 5, 6, 1.79769e+308
1, 5, 7, 1.79769e+308
1, 5, 8, 1.79769e+308
1, 5, 9, 1.79769e+308
1, 6, 1, 1.79769e+308
1, 6, 2, 1.79769e+308
1, 6, 3, 1.79769e+308
1, 6, 4, 1.79769e+308
1, 6, 5, 1.79769e+308
1, 6, 6, 1.79769e+308
1, 6, 7, 1.79769e+308
1, 6, 8, 1.79769e+308
1, 6, 9, 1.79769e+308
1, 7, 1, 1.79769e+308
1, 7, 2, 1.79769e+308
1, 7, 3, 1.79769e+308
1, 7, 4, 1.79769e+308
1, 7, 5, 1.79769e+308
1, 7, 6, 1.79769e+308
1, 7, 7, 1.79769e+308
1, 7, 8, 1.79769e+308
1, 7, 9, 1.79769e+308
1, 8, 1, 1.79769e+308
1, 8, 2, 1.79769e+308
1, 8, 3, 1.79769e+308
1, 8, 4, 1.79769e+308
1, 8, 5, 1.79769e+308
1, 8, 6, 1.79769e+308
1, 8, 7, 1.79769e+308
1, 8, 8, 1.79769e+308
1, 8, 9, 1.79769e+308
1, 9, 1, 1.79769e+308
1, 9, 2, 1.79769e+308
1, 9, 3, 1.79769e+308
1, 9, 4, 1.79769e+308
1, 9, 5, 1.79769e+308
1, 9, 6, 1.79769e+308
1, 9, 7, 1.79769e+308
1, 9, 8, 1.79769e+308
1, 9, 9, 1.79769e+308
2, 1, 1, 1.79769e+308
2, 1, 2, 1.79769e+308
2, 1, 3, 1.79769e+308
2, 1, 4, 1.79769e+308
2, 1, 5, 1.79769e+308
2, 1, 6, 1.79769e+308
2, 1, 7, 1.79769e+308
2, 1, 8, 1.79769e+308
2, 1, 9, 1.79769e+308
2, 2, 1, 1.79769e+308
2, 2, 2, 1.79769e+308
2, 2, 3, 1.79769e+308
2, 2, 4, 1.79769e+308
2, 2, 5, 1.79769e+308
2, 2, 6, 1.79769e+308
2, 2, 7, 1.79769e+308
2, 2, 8, 1.79769e+308
2, 2, 9, 1.79769e+308
2, 3, 1, 1.79769e+308
2, 3, 2, 1.79769e+308
2, 3, 3, 1.79769e+308
2, 3, 4, 1.79769e+308
2, 3, 5, 1.79769e+308
2, 3, 6, 1.79769e+308
2, 3, 7, 1.79769e+308
2, 3, 8, 1.79769e+308
2, 3, 9, 1.79769e+308
2, 4, 1, 1.79769e+308
2, 4, 2, 1.79769e+308
2, 4, 3, 1.79769e+308
2, 4, 4, 1.79769e+308
2, 4, 5, 1.79769e+308
2, 4, 6, 1.79769e+308
2, 4, 7, 1.79769e+308
2, 4, 8, 1.79769e+308
2, 4, 9, 1.79769e+308
2, 5, 1, 1.79769e+308
2, 5, 2, 1.79769e+308
2, 5, 3, 1.79769e+308
2, 5, 4, 1.79769e+308
2, 5, 5, 1.79769e+308
2, 5, 6, 1.79769e+308
2, 5, 7, 1.79769e+308
2, 5, 8, 23.5747
2, 5, 9, 24.0606
2, 6, 1, 1.79769e+308
2, 6, 2, 1.79769e+308
2, 6, 3, 1.79769e+308
2, 6, 4, 1.79769e+308
2, 6, 5, 1.79769e+308
2, 6, 6, 1.79769e+308
2, 6, 7, 19.8498
2, 6, 8, 20.101
2, 6, 9, 20.3654
2, 7, 1, 1.79769e+308
2, 7, 2, 1.79769e+308
2, 7, 3, 1.79769e+308
2, 7, 4, 1.79769e+308
